race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-07-15_2_05,2016-07-15,exacta,0.104633167237,84851200,207213300,0.000219105181271,228051.770305,0.00692871419961,0.0219105181271,0.0489934079545,0.0692871419961
2016-07-15_2_08,2016-07-15,exacta,0.113903526917,27605500,21296900,0.000605064611156,35438.1333534,0.0191338230282,0.0605064611156,0.135296560132,0.191338230282
2016-07-15_3_09,2016-07-15,exacta,0.0560297045237,497906500,240817300,0.000197013890204,80880.3405476,0.00623012623734,0.0197013890204,0.0440536451007,0.0623012623734
2016-07-16_2_01,2016-07-16,exacta,0.122033552483,27982900,25995500,0.000460450374627,70241.3495093,0.014560719333,0.0460450374627,0.102959833793,0.14560719333
2016-07-17_1_07,2016-07-17,exacta,0.054259252337,915206100,428805200,0.000118139804719,210938.140369,0.00373590865241,0.0118139804719,0.0264168634201,0.0373590865241
2016-07-17_1_09,2016-07-17,exacta,0.037728341578,1080513900,481330000,9.44549794443e-05,159545.924557,0.00298692871388,0.00944549794443,0.0211207754851,0.0298692871388
2016-07-22_2_08,2016-07-22,exacta,0.144444515921,25561500,21378000,0.00060495362806,57010.9061996,0.0191303134345,0.060495362806,0.135271743558,0.191303134345
2016-07-22_3_09,2016-07-22,exacta,0.0613517571487,507850900,237763900,0.000164552574368,139009.553768,0.00520360929846,0.0164552574368,0.0367950742159,0.0520360929846
2016-07-23_1_11,2016-07-23,exacta,0.0469037146504,676025900,296431000,0.000151139047787,96307.7229279,0.00477943634397,0.0151139047787,0.0337957184907,0.0477943634397
2016-07-23_1_12,2016-07-23,exacta,0.0614174925838,620249000,266313600,0.00021328455453,82921.1567236,0.00674464982048,0.021328455453,0.0476918762479,0.0674464982048
2016-07-23_2_01,2016-07-23,exacta,0.147462522652,18164800,17402100,0.000615371502988,57423.3541833,0.019459755566,0.0615371502988,0.13760125121,0.19459755566
2016-07-23_2_06,2016-07-23,exacta,0.0332800610932,565476900,302590700,0.000152229134422,47793.922364,0.0048139079101,0.0152229134422,0.0340394692724,0.048139079101
2016-07-23_2_08,2016-07-23,exacta,0.146421161685,36801400,21528800,0.000566343581221,66841.7375611,0.0179093565488,0.0566343581221,0.126638274623,0.179093565488
2016-07-24_3_04,2016-07-24,exacta,0.0447084006573,707703300,377539600,0.000160756585609,77346.5098635,0.00508356959396,0.0160756585609,0.0359462653252,0.0508356959396
2016-07-29_2_03,2016-07-29,exacta,0.0277381298844,380697200,209248300,0.000156865239388,31268.0589194,0.00496051442175,0.0156865239388,0.0350761338579,0.0496051442175
2016-07-29_2_06,2016-07-29,exacta,0.0683357170762,394824800,231540700,0.000219507116863,96916.6292515,0.00694142451905,0.0219507116863,0.0490832834851,0.0694142451905
2016-07-29_2_09,2016-07-29,exacta,0.0503920204135,431920000,239964900,0.000206937887417,59298.4744029,0.00654395058421,0.0206937887417,0.0462727183385,0.0654395058421
2016-07-29_2_11,2016-07-29,exacta,0.0682810241036,431103300,246774800,0.000227326573614,90219.3388712,0.00718869745303,0.0227326573614,0.0508317671693,0.0718869745303
2016-07-29_2_13,2016-07-29,exacta,0.0567926268938,393219700,219052800,0.000245590853684,53476.0765932,0.00776626470147,0.0245590853684,0.054915784349,0.0776626470147
2016-07-29_2_14,2016-07-29,exacta,0.0706199965532,376326400,200257100,0.000264896387021,71072.7818208,0.00837675926936,0.0264896387021,0.0592326328373,0.0837675926936
2016-07-30_2_03,2016-07-30,exacta,0.0395083075084,553709200,294697100,0.000155695954833,64390.5585463,0.00492353839748,0.0155695954833,0.0348146738829,0.0492353839748
2016-07-30_2_04,2016-07-30,exacta,0.0649568871438,454644100,249786200,0.000211685418697,94160.4490628,0.00669408070528,0.0211685418697,0.0473342986051,0.0669408070528
2016-07-30_2_05,2016-07-30,exacta,0.0695037200768,455491200,270484900,0.000284808269712,59553.9962951,0.0090064282874,0.0284808269712,0.0636850651629,0.090064282874
2016-07-30_2_06,2016-07-30,exacta,0.0581466819573,631824100,316835500,0.000159141394055,133500.704882,0.0050324927523,0.0159141394055,0.0355850975142,0.050324927523
2016-08-05_2_06,2016-08-05,exacta,0.086201513924,442992900,258272100,0.00013641333732,399315.454267,0.00431376849157,0.013641333732,0.0305029495286,0.0431376849157
2016-08-06_2_08,2016-08-06,exacta,0.0421015595449,612092700,326577400,0.000161968608966,67567.0039978,0.00512189713782,0.0161968608966,0.0362172819869,0.0512189713782
2016-08-07_3_14,2016-08-07,exacta,0.0614461826626,758117400,347726500,0.000172133260534,127426.637944,0.00544333164359,0.0172133260534,0.0384901671743,0.0544333164359
2016-08-12_3_11,2016-08-12,exacta,0.0400050590714,636769000,294576200,0.000131313287936,92813.7843192,0.00415249076923,0.0131313287936,0.0293625438174,0.0415249076923
2016-08-12_3_14,2016-08-12,exacta,0.0873054042534,651756900,276256000,0.00014095714964,383626.003113,0.00445745645349,0.014095714964,0.0315189768511,0.0445745645349
2016-08-14_1_09,2016-08-14,exacta,0.0515456693345,845200600,396137300,0.000147235882763,122562.338232,0.00465600742837,0.0147235882763,0.0329229442586,0.0465600742837
2016-08-14_1_10,2016-08-14,exacta,0.0437622686388,841615100,369610600,0.000156010917542,78684.5876821,0.00493349839287,0.0156010917542,0.0348851016857,0.0493349839287
2016-08-14_1_11,2016-08-14,exacta,0.0627259483347,1057541800,449782900,0.0001023447415,375632.711471,0.00323642489682,0.01023447415,0.0228849799134,0.0323642489682
2016-08-14_3_03,2016-08-14,exacta,0.058685292298,772938400,358019400,0.000141057419031,173087.887605,0.00446062725004,0.0141057419031,0.0315413977685,0.0446062725004
2016-08-19_2_05,2016-08-19,exacta,0.083007697727,61477300,147895700,0.000438212036625,35881.2969397,0.0138574813384,0.0438212036625,0.0979871902453,0.138574813384
2016-08-19_3_09,2016-08-19,exacta,0.0628640356269,433704000,194135400,0.000177152162806,125924.895,0.00560204326893,0.0177152162806,0.0396124278396,0.0560204326893
2016-08-20_2_07,2016-08-20,exacta,0.0885123774552,480773200,258864400,0.000179252657347,243824.199459,0.00566846673855,0.0179252657347,0.0400821126976,0.0566846673855
2016-08-21_3_01,2016-08-21,exacta,0.0539222925669,694214700,384669900,0.000107031024052,253815.029787,0.00338461816306,0.0107031024052,0.0239328645483,0.0338461816306
2016-08-21_3_04,2016-08-21,exacta,0.0591371874716,594895700,302666100,0.000205319436168,82958.5601792,0.00649277066193,0.0205319436168,0.0459108216374,0.0649277066193
2016-08-21_3_05,2016-08-21,exacta,0.0753253419552,795168600,369909700,0.000138900708479,294085.29011,0.00439242607404,0.0138900708479,0.0310591426281,0.0439242607404
2016-08-26_2_03,2016-08-26,exacta,0.060766354399,298116100,180208200,0.000331054531536,33692.0386661,0.0104688634938,0.0331054531536,0.0740260436775,0.104688634938
2016-08-26_2_05,2016-08-26,exacta,0.0671892745259,82765800,218665200,0.000256061010444,68851.434614,0.00809736012967,0.0256061010444,0.057256982574,0.0809736012967
2016-08-26_3_06,2016-08-26,exacta,0.06570826885,505063700,275754800,0.000124840018045,277033.574272,0.00394778800159,0.0124840018045,0.0279150766661,0.0394778800159
