race_id,race_date,target_market,model,tv
2025-07-20_1_07,2025-07-20,quinella,harville,0.0733188910103
2025-07-20_1_07,2025-07-20,trio,main,0.0337355772072
2025-07-20_1_07,2025-07-20,trio,harville,0.132944971348
2025-07-25_2_02,2025-07-25,win,main,0.031141272992
2025-07-25_2_02,2025-07-25,win,harville,5.72458747072e-17
2025-07-25_2_02,2025-07-25,exacta,main,0.0702949424977
2025-07-25_2_02,2025-07-25,exacta,harville,0.112068649841
2025-07-25_2_02,2025-07-25,quinella,main,0.0846242347734
2025-07-25_2_02,2025-07-25,quinella,harville,0.125804739123
2025-07-25_2_02,2025-07-25,trio,main,0.061700673822
2025-07-25_2_02,2025-07-25,trio,harville,0.138908364927
2025-07-25_2_03,2025-07-25,win,main,0.113512168906
2025-07-25_2_03,2025-07-25,win,harville,8.84708972748e-17
2025-07-25_2_03,2025-07-25,exacta,main,0.0550227903187
2025-07-25_2_03,2025-07-25,exacta,harville,0.147701233067
2025-07-25_2_03,2025-07-25,quinella,main,0.0482995882736
2025-07-25_2_03,2025-07-25,quinella,harville,0.148146881846
2025-07-25_2_03,2025-07-25,trio,main,0.0587697568671
2025-07-25_2_03,2025-07-25,trio,harville,0.175533302507
2025-07-25_2_04,2025-07-25,win,main,0.0672361569297
2025-07-25_2_04,2025-07-25,win,harville,7.4593109467e-17
2025-07-25_2_04,2025-07-25,exacta,main,0.0535759302913
2025-07-25_2_04,2025-07-25,exacta,harville,0.13128344291
2025-07-25_2_04,2025-07-25,quinella,main,0.0737039906523
2025-07-25_2_04,2025-07-25,quinella,harville,0.130259446685
2025-07-25_2_04,2025-07-25,trio,main,0.0469105505583
2025-07-25_2_04,2025-07-25,trio,harville,0.185106683193
2025-07-25_2_07,2025-07-25,win,main,0.0831819504878
2025-07-25_2_07,2025-07-25,win,harville,7.1123662515e-17
2025-07-25_2_07,2025-07-25,exacta,main,0.0980569999122
2025-07-25_2_07,2025-07-25,exacta,harville,0.106257282087
2025-07-25_2_07,2025-07-25,quinella,main,0.0927150613236
2025-07-25_2_07,2025-07-25,quinella,harville,0.106754923583
2025-07-25_2_07,2025-07-25,trio,main,0.0647426176351
2025-07-25_2_07,2025-07-25,trio,harville,0.100081476677
2025-07-25_2_09,2025-07-25,win,main,0.0393110006886
2025-07-25_2_09,2025-07-25,win,harville,6.76542155631e-17
2025-07-25_2_09,2025-07-25,exacta,main,0.0694510938484
2025-07-25_2_09,2025-07-25,exacta,harville,0.138787755394
2025-07-25_2_09,2025-07-25,quinella,main,0.0958005031887
2025-07-25_2_09,2025-07-25,quinella,harville,0.166986104252
2025-07-25_2_09,2025-07-25,trio,main,0.0658337256194
2025-07-25_2_09,2025-07-25,trio,harville,0.191738169088
2025-07-25_2_13,2025-07-25,win,main,0.0308537401228
2025-07-25_2_13,2025-07-25,win,harville,1.21430643318e-16
2025-07-25_2_13,2025-07-25,exacta,main,0.0562752445508
2025-07-25_2_13,2025-07-25,exacta,harville,0.101460026615
2025-07-25_2_13,2025-07-25,quinella,main,0.0700878465581
2025-07-25_2_13,2025-07-25,quinella,harville,0.113916675801
2025-07-25_2_13,2025-07-25,trio,main,0.0550769572805
2025-07-25_2_13,2025-07-25,trio,harville,0.137375249516
2025-07-25_2_14,2025-07-25,win,main,0.0990453795402
2025-07-25_2_14,2025-07-25,win,harville,1.12757025938e-16
2025-07-25_2_14,2025-07-25,exacta,main,0.0793632563364
2025-07-25_2_14,2025-07-25,exacta,harville,0.131533126057
2025-07-25_2_14,2025-07-25,quinella,main,0.103747391985
2025-07-25_2_14,2025-07-25,quinella,harville,0.122095367404
2025-07-25_2_14,2025-07-25,trio,main,0.07330385251
2025-07-25_2_14,2025-07-25,trio,harville,0.13687851555
2025-07-26_1_07,2025-07-26,win,main,0.0416257707533
2025-07-26_1_07,2025-07-26,win,harville,1.30104260698e-16
2025-07-26_1_07,2025-07-26,exacta,main,0.0543685869867
2025-07-26_1_07,2025-07-26,exacta,harville,0.116460004934
2025-07-26_1_07,2025-07-26,quinella,main,0.0879877364216
