probability_model,tail_model,target_market,baseline_model,challenger_model,loss,n_races,n_race_dates,n_years,median_loss_reduction,mean_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,challenger_better_race_share,years_with_positive_median,minimum_year_median_reduction,maximum_year_median_reduction
stage_temperature,prelec,quinella,M-R,M-S2,log_rmse,19286,1130,8,0.33274615097572524,0.27002304010868117,0.32741869750925495,0.3384858150168061,0.8794980815099036,8,0.30427168378418923,0.3839514038866553
stage_temperature,prelec,quinella,M-R,M-S2,tv,19286,1130,8,0.05570293469480514,0.04630984335923693,0.05439750258073357,0.05701192433588075,0.8076843306025095,8,0.04929442167522098,0.06601354509888094
stage_temperature,isotonic_clip,trifecta,M-R,M-S2,js,3323,979,8,0.05473170427091365,0.053524761141372196,0.05370031985324524,0.055669787259707476,0.9897682816731869,8,0.040791379313331336,0.06727557864114612
stage_temperature,isotonic_clip,trifecta,M-R,M-S2,log_rmse,3323,979,8,0.6041446934741089,0.6012645682191367,0.5945965891754585,0.6154896761544423,0.9882636172133614,8,0.5560740137978668,0.6700095048235516
stage_temperature,isotonic_clip,trifecta,M-R,M-S2,tv,3323,979,8,0.14878975153205576,0.14450066816282536,0.14601354995645308,0.1518529708639818,0.9888654829972916,8,0.11486312128713544,0.1833318433436525
stage_temperature,isotonic_clip,trifecta,M-R,M-S3,js,3323,979,8,0.058734862289681625,0.05690052648938283,0.05746767892199586,0.06016805739915339,0.9831477580499549,8,0.04331583696174915,0.0700796006981943
stage_temperature,isotonic_clip,trifecta,M-R,M-S3,log_rmse,3323,979,8,0.6309213501929276,0.6045931685779363,0.6222119376465314,0.6397038546426715,0.9786337646704785,8,0.5561427964074541,0.6766579680963477
stage_temperature,isotonic_clip,trifecta,M-R,M-S3,tv,3323,979,8,0.16763642391314162,0.15965341403264685,0.16473404416558424,0.17008296801407916,0.9849533554017454,8,0.12829834879749275,0.1932934230042868
stage_temperature,isotonic_clip,trifecta,M-S2,M-S3,js,3323,979,8,0.0036103949894902374,0.00337576534801063,0.003407174869188426,0.003851336400247856,0.8281673186879326,8,0.0007453077849470142,0.005035840072321915
stage_temperature,isotonic_clip,trifecta,M-S2,M-S3,log_rmse,3323,979,8,0.024749752395526514,0.003328600358799707,0.02039975064794113,0.027785895558632836,0.6178152272043335,5,-0.003895933027672438,0.045557255865385005
stage_temperature,isotonic_clip,trifecta,M-S2,M-S3,tv,3323,979,8,0.016425647427932122,0.015152745869821477,0.015629606802540687,0.01706937662949237,0.8519410171531748,8,0.00612686628140445,0.022009834058926356
stage_temperature,power,trifecta,M-R,M-S2,js,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-R,M-S2,log_rmse,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-R,M-S2,tv,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,trifecta,M-R,M-S3,js,3323,979,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
