probability_model,tail_model,price_model,target_market,n_races,n_years,median_tv,mean_tv,median_mae,median_log_rmse,median_js,median_raw_mae,mean_support_share,all_arguments_supported_race_share,median_common_tv,median_common_log_rmse,median_trimmed_tv,median_trimmed_log_rmse,mean_common_support_share
harville,power,M-R,quinella,19286,8,0.2232421760584689,0.22923597488177003,0.008909797066884377,0.8125719641552378,0.0365611683723153,0.01220478747243078,0.7345264793452598,0.06979155864357565,0.1963403354401482,0.6339865612763023,0.21751323107726467,0.7494086962849316,0.7056077595938117
harville,power,M-R,trifecta,3323,8,0.2618985713756456,0.26576980638901276,0.0011257361942266474,0.7743869090871367,0.04934992901959028,0.0015421563806123323,0.32775104989971077,0.0006018657839301836,0.21336690280976872,0.5926371351695462,0.2563642410023417,0.7282079088516887,0.30371252071899074
harville,power,M-R,trio,15864,8,0.22760654579976375,0.23279459641314143,0.003530457751918281,0.7708700912106747,0.037690951849987775,0.0048353220699525815,0.4950209470727625,0.005231971759959657,0.18513925464998715,0.5359014936303806,0.2237021594943012,0.7233855493524981,0.4248522657372884
harville,power,M-S2,exacta,18720,8,0.2606720674520049,0.2675754748560707,0.005234952883213316,0.9328457043169988,0.049051373138421124,0.007171239156173414,0.9658523820523021,0.7498931623931624,0.22459001260146363,0.7156829849157867,0.25471438969798554,0.868762296590477,0.6023404669879029
harville,power,M-S2,quinella,19286,8,0.22389872797104793,0.22991529773640426,0.008933297720484606,0.8146199168062269,0.03675358785546573,0.012237615128990298,0.9534666314247358,0.7316706419164161,0.19649029914298732,0.6345978776960763,0.2182685042577222,0.751489623849066,0.7056077595938117
harville,power,M-S2,trifecta,3323,8,0.2618985713756456,0.26576980638901276,0.0011257361942266474,0.7743869090871367,0.049349929019590275,0.0015421563806123325,0.8949572299670103,0.13331327114053565,0.21336690280976878,0.5926371351695463,0.2563642410023417,0.7282079088516888,0.30371252071899074
harville,power,M-S2,trio,15864,8,0.22863124458919865,0.23408284732198117,0.0035481615021090767,0.7779894219330752,0.03803647625155031,0.004860042291370804,0.5029506156349954,0.02931164901664145,0.18540018483960097,0.5370546441393408,0.22465686992038686,0.7297928956187972,0.4248522657372884
harville,power,M-S3,trifecta,3323,8,0.26189857137564565,0.26576980638901276,0.0011257361942266474,0.7743869090871367,0.049349929019590275,0.0015421563806123323,0.9693079281704019,0.7020764369545591,0.21336690280976872,0.5926371351695462,0.2563642410023417,0.7282079088516888,0.30371252071899074
harville,power,M-S3,trio,15864,8,0.2286312445891986,0.23408284732198117,0.0035481615021090763,0.7779894219330752,0.03803647625155032,0.004860042291370804,0.9407045000511339,0.6016767523953606,0.18540018483960097,0.5370546441393408,0.22465686992038683,0.7297928956187972,0.4248522657372884
harville,prelec,M-R,exacta,18720,8,0.21941684626244304,0.22365772671484527,0.004393610642553586,0.9319854025118078,0.03771482563031377,0.006018011823554281,0.6259816619752517,0.019658119658119658,0.1801611084266097,0.6408499181181739,0.20992126509912418,0.8328898714411079,0.6023404669879029
harville,prelec,M-R,quinella,19286,8,0.14747180048319936,0.15438809355708397,0.005827409686548121,0.6773321693983063,0.018813969602966264,0.007984134223774385,0.7345264793452598,0.06979155864357565,0.13163003599396333,0.49224220721278933,0.14033780489354258,0.5835969577708204,0.7056077595938117
harville,prelec,M-R,trifecta,3323,8,0.28692717303034826,0.2878599414413977,0.0012351818978243625,0.905087110300245,0.05924006928601097,0.0016920068902644642,0.32775104989971077,0.0006018657839301836,0.2100310197159697,0.594256412537563,0.27666705870318403,0.8240835088433033,0.30371252071899074
harville,prelec,M-R,trio,15864,8,0.20250792505784346,0.20707533397085984,0.003096184807942606,0.8448584594777637,0.03217113126944757,0.004241422583919623,0.4950209470727625,0.005231971759959657,0.15349358420454923,0.47924928690085,0.19515698857813196,0.7446352725891023,0.4248522657372884
harville,prelec,M-S2,exacta,18720,8,0.16598696183397543,0.17704232665075462,0.0033670299948910373,0.5175723359362281,0.021028425979958142,0.004612074826846855,0.9658523820523021,0.7498931623931624,0.15509827467553583,0.4701609437165307,0.165681277958252,0.5169040823982267,0.6023404669879029
harville,prelec,M-S2,quinella,19286,8,0.16621079928888632,0.17555183867988106,0.00667344069195481,0.5022409064208271,0.02063564703057232,0.009136715514431692,0.9534666314247358,0.7316706419164161,0.1497521311181407,0.44444836727429526,0.16587680885198477,0.5055364260265841,0.7056077595938117
harville,prelec,M-S2,trifecta,3323,8,0.16697750886992446,0.1774536286588411,0.0007044677565930366,0.47259670691484673,0.02158286474695303,0.0009649178937640601,0.8949572299670103,0.13331327114053565,0.14810867717359388,0.4204960860613347,0.16583912541696583,0.4638645300779551,0.30371252071899074
harville,prelec,M-S2,trio,15864,8,0.16189876543626386,0.1700609757462466,0.0025001549999194416,0.5645086997340554,0.02121931211419572,0.0034245147044491913,0.5029506156349954,0.02931164901664145,0.14393545121430365,0.4373683829118449,0.16021792383323183,0.545084383882711,0.4248522657372884
